tcin,price,Region,Alcohol Percentage,Wine varietals,rating,taste,quality,value
80223172,10.99,Midwestern United States,11,Red Blend,5.0,5.0,5.0,5.0
47129445,21.99,"Alexander Valley, California",12.0,Cabernet Sauvignon,0.0,0.0,0.0,0.0
47133261,8.99,Great Lakes,12.5,Red Blend,5.0,0.0,0.0,0.0
47133012,16.99,California,12.0,Pinot Noir,0.0,0.0,0.0,0.0
54280023,84.99,"Napa Valley, California",15,Cabernet Sauvignon,0.0,0.0,0.0,0.0
87573549,14.99,California,14,Pinot Noir,5.0,5.0,5.0,5.0
81581732,69.99,"Paso Robles, California",15,Red Blend,0.0,0.0,0.0,0.0
47135910,32.99,"Napa Valley, California",14.8,Cabernet Sauvignon,5.0,0.0,0.0,0.0
47134341,16.99,Oregon,13.0,Pinot Noir,4.56,5.0,5.0,5.0
81322766,11.99,California,14,Cabernet Sauvignon,5.0,5.0,5.0,5.0
47133882,8.99,Mendoza,13.5,Malbec,5.0,5.0,5.0,5.0
81642298,18.99,"Paso Robles, California",15,Cabernet Sauvignon,5.0,5.0,5.0,5.0
80205302,8.99,United States,12,Muscadine,4.58,5.0,5.0,5.0
47132529,7.99,Midwestern United States,13.0,Red Blend,5.0,5.0,5.0,5.0
50476611,14.99,"Paso Robles, California",14.5,Red Blend,5.0,0.0,0.0,0.0
79182386,16.99,"Sonoma, California",14.5,Red Blend,0.0,0.0,0.0,0.0
51771542,16.99,Italy,14.5,Red Blend,5.0,0.0,0.0,0.0
81826928,23.99,"Willamette Valley, Oregon",14,Pinot Noir,0.0,0.0,0.0,0.0
14777972,14.99,California,13.9,Cabernet Sauvignon,5.0,5.0,5.0,5.0
51771541,16.99,Spain,14.5,Red Blend,3.67,5.0,5.0,5.0
82018230,15.99,Oregon,13,Pinot Noir,5.0,5.0,5.0,5.0
81642296,17.99,California,14,Pinot Noir,0.0,0.0,0.0,0.0
47129471,6.99,Midwestern United States,10,Red Blend,5.0,0.0,0.0,0.0
51759424,23.99,"Napa Valley, California",14.2,Merlot,4.67,0.0,0.0,0.0
47133270,9.99,California,13.5,Cabernet Sauvignon,4.86,0.0,0.0,0.0
13403807,19.99,California,14.5,Pinot Noir,4.48,0.0,0.0,0.0
51752181,10.99,Mendoza,13.5,Malbec,0.0,0.0,0.0,0.0
47134358,8.99,Rhone Valley,13.5,Red Blend,5.0,5.0,5.0,5.0
81826931,21.99,"Russian River Valley, California",14.5,Pinot Noir,5.0,0.0,0.0,0.0
47134292,11.99,"Alexander Valley, California",13.5,Cabernet Sauvignon,0.0,0.0,0.0,0.0
83478939,21.99,"Paso Robles, California",15,Cabernet Sauvignon,5.0,5.0,5.0,5.0
79347612,23.99,"Monterey, California",29,Pinot Noir,5.0,0.0,0.0,0.0
47133685,9.99,Mendoza,13.5,Cabernet Sauvignon,5.0,0.0,0.0,0.0
54217346,22.99,California,14,Cabernet Sauvignon,2.0,0.0,0.0,0.0
52525307,8.99,California,15,Red Blend,4.17,4.0,3.5,5.0
47982505,19.99,"Sonoma Coast, California",15.2,Zinfandel,4.67,4.67,5.0,4.67
47133544,12.99,Tuscany,13.0,Red Blend,0.0,0.0,0.0,0.0
47536395,79.99,"Napa Valley, California",14.5,Cabernet Sauvignon,5.0,0.0,0.0,0.0
17295368,14.99,Rhone Valley,14.0,Red Blend,0.0,0.0,0.0,0.0
83247272,19.99,"Russian River Valley, California",14.5,Pinot Noir,5.0,5.0,5.0,5.0
47536403,15.99,California,14,Cabernet Sauvignon,5.0,0.0,0.0,0.0
51986627,13.99,Midwestern United States,10,Fruit Varietal,0.0,0.0,0.0,0.0
79270595,13.99,"Willamette Valley, Oregon",13,Pinot Noir,0.0,0.0,0.0,0.0
81826936,7.99,Chile,12,Cabernet Sauvignon,5.0,5.0,5.0,5.0
86459252,19.99,"Central Coast, California",14,Cabernet Sauvignon,0.0,0.0,0.0,0.0
50392881,10.99,California,13.5,Pinot Noir,3.92,3.71,3.86,3.4
51760782,8.99,California,13.5,Pinot Noir,4.67,0.0,0.0,0.0
