country,points,price,province,region_1,region_2,variety,winery
US,87,13.0,Washington,Yakima Valley,Columbia Valley,Pinot Gris,Mercer
US,88,28.0,California,Livermore Valley,Central Coast,Pinot Blanc,Las Positas
US,90,27.0,California,Napa Valley,Napa,Chenin Blanc,Lang & Reed
US,91,38.0,Washington,Wahluke Slope,Columbia Valley,Syrah,Fielding Hills
US,89,36.0,California,Russian River Valley,Sonoma,Viognier,Kobler
US,82,45.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Ampelos
US,91,34.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Morgan
US,89,65.0,California,Paso Robles,Central Coast,Red Blend,Dubost
US,92,42.0,California,Sierra Foothills,Sierra Foothills,Red Blend,Naggiar
US,86,16.0,California,Sonoma County,Sonoma,Sangiovese,Valley of the Moon
US,91,32.0,California,Paso Robles,Central Coast,Grenache,Villa San Juliette
US,88,33.0,California,Chalk Hill,Sonoma,Sauvignon Blanc,Chalk Hill
US,84,13.0,New York,Long Island,Long Island,Chardonnay,Channing Daughters
US,89,26.0,New York,Finger Lakes,Finger Lakes,Riesling,Bloomer Creek
US,93,50.0,California,Amador County,Sierra Foothills,Zinfandel,Renwood
US,90,25.0,California,California,California Other,Red Blend,SOLID
US,90,25.0,California,Monterey,Central Coast,Pinot Noir,San Simeon
US,93,22.0,California,Napa Valley,Napa,Pinot Noir,Brick & Mortar
US,92,49.0,California,Russian River Valley,Sonoma,Chardonnay,Papapietro Perry
US,87,28.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Tamarack Cellars
US,93,55.0,California,Santa Cruz Mountains,Central Coast,Syrah,Big Basin
US,88,28.0,California,Santa Barbara County,Central Coast,Viognier,Fess Parker
US,92,75.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Robert Craig
US,88,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Oakville Ranch
US,93,61.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
US,84,45.0,California,Carneros-Napa Valley,Napa,Pinot Noir,Beaulieu Vineyard
US,86,16.0,California,Central Coast,Central Coast,Pinot Noir,Blue Hawk
US,86,14.0,California,Paso Robles,Central Coast,Rosé,Vinum
US,86,85.0,California,St. Helena,Napa,Cabernet Sauvignon,Raymond
US,84,15.0,California,California,California Other,Sauvignon Blanc,Sylvester
US,87,24.0,Washington,Horse Heaven Hills,Columbia Valley,Malbec,14 Hands
US,87,19.0,California,Paso Robles,Central Coast,Zinfandel,Bianchi
