tcin,price,Region,Alcohol Percentage,Wine varietals,rating,taste,quality,value
52525409,5.0,California,13.5,Cabernet Sauvignon,4.34,3.79,3.97,4.47
16194978,8.99,California,13.5,Red Blend,4.67,5.0,5.0,5.0
14778671,13.99,California,13.5,Cabernet Sauvignon,4.63,4.11,4.33,4.44
79329740,19.99,California,15.5,Cabernet Sauvignon,4.78,5.0,5.0,5.0
13299910,6.49,California,11.5,Riesling,4.62,4.83,4.67,4.83
79182397,9.99,California,15.0,Cabernet Sauvignon,4.73,4.29,4.71,5.0
47827287,10.99,Italy,5.0,Pink Moscato,4.73,4.43,4.43,4.86
16293119,9.99,California,13.0,Red Blend,4.48,4.0,3.75,4.0
52525405,5.0,California,13.5,Red Blend,4.23,4.02,4.05,4.55
52525401,5.0,California,10.0,White Moscato,4.52,4.34,4.37,4.57
52525404,5.0,California,13.0,Pinot Grigio,4.27,3.87,4.03,4.38
54249204,5.0,California,13.5,Sauvignon Blanc,4.22,3.45,3.5,4.09
39599515,8.99,California,13.5,Red Blend,4.7,4.33,4.14,5.0
47987121,13.99,California,13.5,Red Blend,4.61,4.75,4.5,4.5
47537031,11.99,Italy,7.0,Red Blend,4.79,4.73,4.76,4.62
51774000,8.99,Rhone Valley,13.5,Rose,4.38,4.93,5.0,5.0
53195285,9.99,"Columbia Valley, Washington",12.5,Rose,4.5,5.0,5.0,5.0
13462180,8.99,California,13.5,Red Blend,4.71,4.2,4.4,4.4
13300260,9.99,California,13.5,Red Blend,4.42,3.94,3.95,4.25
53329126,5.0,California,12.5,Rose,4.06,2.79,3.18,4.03
53207462,9.99,Australia,13.5,Pinot Noir,4.42,5.0,4.5,5.0
81783100,9.99,California,14.0,Pinot Noir,4.17,5.0,5.0,5.0
51494687,10.99,Italy,12.5,Pinot Grigio,4.57,4.5,4.33,4.33
14767254,15.99,Italy,13.5,Prosecco,4.83,4.89,4.89,4.89
81782781,6.49,California,8.0,White Moscato,4.61,5.0,5.0,5.0
