tcin,price,Region,Alcohol Percentage,Wine varietals,rating,taste,quality,value
81826932,52.99,"Napa Valley, California",15,Cabernet Sauvignon,0.0,0.0,0.0,0.0
47134918,15.99,Mendoza,14.2,Malbec,0.0,0.0,0.0,0.0
81642206,174.99,"Rutherford, California",14,Cabernet Sauvignon,0.0,0.0,0.0,0.0
47132556,15.99,California,13.9,Pinot Noir,0.0,0.0,0.0,0.0
47136040,8.99,California,13.9,Merlot,0.0,0.0,0.0,0.0
47134497,10.99,"Sonoma, California",13.5,Pinot Noir,0.0,0.0,0.0,0.0
49097316,73.99,"Red Mountain, Washington",14.3,Cabernet Sauvignon,0.0,0.0,0.0,0.0
81642299,21.99,"Paso Robles, California",16,Red Blend,5.0,5.0,5.0,5.0
87247376,33.99,"Napa, California",15,Cabernet Sauvignon,0.0,0.0,0.0,0.0
51771544,16.99,France,14.5,Red Blend,5.0,0.0,0.0,0.0
52051058,9.99,Australia,13.5,Red Blend,5.0,5.0,5.0,4.75
47130217,13.99,"Sonoma, California",13.5,Merlot,0.0,0.0,0.0,0.0
47131874,27.99,"Paso Robles, California",13.5,Red Blend,0.0,0.0,0.0,0.0
50428240,22.99,"Los Carneros, California",12,Pinot Noir,0.0,0.0,0.0,0.0
47133330,10.99,California,12,Red Blend,0.0,0.0,0.0,0.0
17125357,8.99,California,13.5,Red Blend,4.7,0.0,0.0,0.0
81786052,28.99,"Paso Robles, California",15,Red Blend,0.0,0.0,0.0,0.0
81826930,23.99,"Paso Robles, California",14,Red Blend,0.0,0.0,0.0,0.0
47133059,16.99,California,13.5,Red Blend,0.0,0.0,0.0,0.0
50428170,19.99,"Alexander Valley, California",12,Cabernet Sauvignon,0.0,0.0,0.0,0.0
87573552,17.00,California,15,Cabernet Sauvignon,0.0,0.0,0.0,0.0
81786053,26.99,"Paso Robles, California",15,Red Blend,0.0,0.0,0.0,0.0
47131167,6.99,California,13.5,Merlot,0.0,0.0,0.0,0.0
87710096,27.99,United States,15,Cabernet Sauvignon,0.0,0.0,0.0,0.0
83641654,79.99,California,15,Cabernet Sauvignon,0.0,0.0,0.0,0.0
13462172,17.99,California,13.5,Pinot Noir,4.08,3.43,3.14,4.0
13463195,10.99,Australia,13,Merlot,0.0,0.0,0.0,0.0
13463198,10.99,Australia,13.5,Syrah/Shiraz,0.0,0.0,0.0,0.0
13300261,10.99,California,13.0,Cabernet Sauvignon,4.39,0.0,0.0,0.0
51743844,9.99,California,10.5,Red Blend,4.42,0.0,0.0,0.0
86703058,9.99,United States,13.8,Red Blend,0.0,0.0,0.0,0.0
39599517,6.99,California,13.5,Zinfandel,2.9,0.0,0.0,0.0
83480881,5.99,Italy,5,Brachetto D'Acqui,4.32,5.0,5.0,5.0
13461946,17.99,California,13.5,Merlot,4.17,4.5,5.0,5.0
14765586,9.99,California,12.5,Red Blend,5.0,0.0,0.0,0.0
86517228,6.99,California,5,Brachetto D'Acqui,4.78,0.0,0.0,0.0
79329832,8.99,California,13.8,Red Blend,4.5,4.0,5.0,5.0
13300816,9.99,California,12.5,Pinot Noir,4.39,0.0,0.0,0.0
54034994,19.99,Italy,5,Red Blend,4.8,5.0,5.0,4.0
14779054,4.99,California,13.5,Pinot Noir,3.56,5.0,4.5,5.0
14779057,4.99,California,13.5,Red Blend,4.07,3.14,3.17,4.0
14766148,17.99,Mendoza,13.0,Malbec,4.38,3.33,3.33,5.0
54659203,10.99,California,14,Red Blend,4.41,0.0,0.0,0.0
13463197,10.99,Australia,13.5,Syrah/Shiraz,0.0,0.0,0.0,0.0
13300813,10.99,California,13.0,Merlot,4.67,0.0,0.0,0.0
79346741,7.99,Italy,7,Red Blend,4.5,5.0,5.0,5.0
54659062,10.99,Italy,11,Prosecco,4.47,4.25,4.45,4.82
