,tcin,price,Region,Alcohol Percentage,Wine varietals,rating,taste,quality,value
0,52525409,5.00,California,13.5,Cabernet Sauvignon,4.34,3.79,3.97,4.47
1,52525404,5.00,California,13.0,Pinot Grigio,4.27,3.87,4.03,4.38
2,14778671,13.99,California,13.5,Cabernet Sauvignon,4.63,4.11,4.33,4.44
3,79329740,19.99,California,15.5,Cabernet Sauvignon,4.78,5.0,5.0,5.0
4,16194978,8.99,California,13.5,Red Blend,4.65,5.0,5.0,5.0
5,52525401,5.00,California,10.0,White Moscato,4.52,4.34,4.37,4.57
6,13300260,9.99,California,13.5,Red Blend,4.42,3.94,3.95,4.25
7,52525405,5.00,California,13.5,Red Blend,4.23,4.02,4.05,4.55
8,79182397,9.99,California,15,Cabernet Sauvignon,4.73,4.29,4.71,5.0
9,16293119,9.99,California,13.0,Red Blend,4.48,4.0,3.75,4.0
10,79329830,9.00,California,13.5,Red Blend,4.27,4.33,4.33,4.56
11,79329831,9.00,California,12.5,Rose,4.13,3.8,4.0,4.6
12,81783100,9.99,California,14,Pinot Noir,4.17,5.0,5.0,5.0
13,13462180,8.99,California,13.5,Red Blend,4.71,4.2,4.4,4.4
14,47987121,13.99,California,13.5,Red Blend,4.61,4.75,4.5,4.5
15,17125356,8.99,California,13.5,Cabernet Sauvignon,4.46,3.0,2.5,3.67
16,39599515,8.99,California,13.5,Red Blend,4.7,4.33,4.14,5.0
17,83443894,5.00,California,9.5,White Moscato,4.36,4.8,4.8,5.0
18,13299910,6.49,California,11.5,Riesling,4.62,4.83,4.67,4.83
19,53329126,5.00,California,12.5,Rose,4.06,2.79,3.18,4.03
20,54249204,5.00,California,13.5,Sauvignon Blanc,4.22,3.45,3.5,4.09
21,47218023,10.99,Italy,5.5,White Moscato,4.8,5.0,4.79,4.86
22,53207462,9.99,Australia,13.5,Pinot Noir,4.42,5.0,4.5,5.0
23,52525410,5.00,California,13.5,Chardonnay,4.2,3.62,3.62,3.42
